"X_coord","Y_COORD","HABITAT"
291000,5241260,1
291000,5242260,1
291000,5243260,1
291000,5244260,1
291000,5245260,1
291000,5246260,1
291000,5247260,1
291000,5248260,0
291000,5249260,1
291000,5250260,1
291000,5251260,1
291000,5252260,1
291000,5253260,1
291000,5254260,1
291000,5255260,1
291000,5256260,1
291000,5257260,1
291000,5258260,0
291000,5259260,0
291000,5260260,0
291000,5261260,1
291000,5262260,1
291000,5263260,1
291000,5264260,0
291000,5265260,1
291000,5266260,0
291000,5267260,1
292000,5163260,1
292000,5164260,1
292000,5165260,1
292000,5166260,1
292000,5167260,1
292000,5168260,1
292000,5169260,1
292000,5170260,1
292000,5171260,1
292000,5172260,1
292000,5173260,1
292000,5174260,1
292000,5175260,1
292000,5176260,1
292000,5177260,1
292000,5178260,1
292000,5179260,1
292000,5180260,1
292000,5181260,0
292000,5182260,1
292000,5183260,1
292000,5184260,0
292000,5185260,0
292000,5186260,1
292000,5187260,1
292000,5188260,1
292000,5189260,1
292000,5190260,1
292000,5191260,1
292000,5192260,1
292000,5193260,1
292000,5194260,1
292000,5195260,1
292000,5196260,1
292000,5197260,1
292000,5198260,0
292000,5199260,1
292000,5200260,1
292000,5201260,1
292000,5202260,1
292000,5203260,1
292000,5204260,1
292000,5205260,1
292000,5206260,1
292000,5207260,1
292000,5208260,1
292000,5209260,1
292000,5210260,1
292000,5211260,1
292000,5212260,0
292000,5213260,1
292000,5214260,1
292000,5215260,1
292000,5216260,1
292000,5217260,1
292000,5218260,1
292000,5219260,1
292000,5220260,1
292000,5221260,1
292000,5222260,1
292000,5223260,0
292000,5224260,1
292000,5225260,1
292000,5226260,1
292000,5227260,1
292000,5228260,1
292000,5229260,1
292000,5230260,1
292000,5231260,1
292000,5232260,1
292000,5233260,1
292000,5234260,1
292000,5235260,1
292000,5236260,0
292000,5237260,1
292000,5238260,0
292000,5239260,1
292000,5240260,1
292000,5241260,1
292000,5242260,1
292000,5243260,1
292000,5244260,1
292000,5245260,1
292000,5246260,1
292000,5247260,1
292000,5248260,1
292000,5249260,1
292000,5250260,1
292000,5251260,1
292000,5252260,1
292000,5253260,1
292000,5254260,1
292000,5255260,1
292000,5256260,0
292000,5257260,1
292000,5258260,1
292000,5259260,1
292000,5260260,1
292000,5261260,0
292000,5262260,0
292000,5263260,0
292000,5264260,1
292000,5265260,1
292000,5266260,1
292000,5267260,1
293000,5163260,1
293000,5164260,1
293000,5165260,1
293000,5166260,1
293000,5167260,1
293000,5168260,1
